island_name,Agonum affine Kirby,A. corvus (LeConte),A. gratiosum (Mannerheim),A. melanarium Dejean,A. propinquum (Gemminger & Harold),A. retractum (LeConte),A. sordens (Kirby),Amara erratica (Duftschmid),A. littoralis Mannerheim,A. patruelis Dejean,A. sinuosa (Casey),Bembidion bimaculatum (Kirby),Blethisa muhipunctata (Urine),Bradycellus lugubris (LeConte),Calathus ingratus Dejean,Carabus chamissonis (Fisher von Waldheim),C. taedatus Fabricius,Calosoma frigidum Kirby,Cicindela longilabris Say,Cymindis cribricollis Dejean,C. unicolor Kirby,Elaphrus clairvillei Kirby,Harpalus fulvilabris Mannerheim,H. laevipes Zetterstedt,Loricera pilicornis (Fabricius),Miscodera arctica Mannerheim,Patrobus foveocollis (Eschscholtz),P. septentrionis Dejean,Platynus decentis (Say),P. mannerheimii (Dejean),Pterostichus adstrictus (Eschscholtz),P. brevicornis (Kirby),P. pensylvanicus (LeConte),P. punctatissimus (Randall),Stereocerus haematopus (Dejean),Syntomus americanus (Dejean),Synuchus impunctatus (Say),Trachypachus holmbergi Mannerheim,Trechus apicalis Motschulsky
EW,0,0,0,0,0,22,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,61,0,10,1,0,4,1,35,0
FI,0,0,11,13,0,17,0,0,0,0,0,0,0,0,27,0,0,0,0,1,0,0,2,0,1,0,0,1,132,0,335,0,4,0,41,0,1,3,0
HB,0,0,1,0,0,72,0,0,0,0,0,0,0,0,90,1,0,0,0,2,0,0,4,0,1,1,0,0,31,0,76,0,3,40,5,0,12,2,0
LG,0,0,2,0,0,21,3,1,0,0,0,0,0,0,23,9,1,0,0,0,0,1,1,0,0,0,0,0,43,0,179,0,4,12,23,0,42,0,0
AL,0,0,2,0,0,133,0,0,0,0,0,0,0,0,203,31,0,0,0,3,0,0,0,0,0,0,0,0,39,0,215,0,42,18,96,1,30,0,0
GL,0,0,0,0,0,53,1,0,0,0,0,0,0,0,123,2,0,0,0,4,0,0,0,0,1,2,0,0,113,0,200,0,3,53,101,0,14,0,0
CI,0,0,1,0,0,64,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,36,0,1,11,5,0,2,0,0
CU,0,0,1,0,0,94,1,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,229,0,6,0,2,1,36,1,0
RI,0,0,2,1,0,18,0,0,1,0,0,0,0,0,72,0,0,1,0,0,0,0,1,0,0,1,0,0,80,0,124,0,9,2,2,0,36,1,0
RB,1,0,0,0,0,29,1,0,0,0,0,0,0,1,57,110,0,0,0,0,0,0,0,0,0,0,0,1,49,0,94,0,2,9,31,0,11,11,0
FU,0,0,7,0,0,31,1,0,0,0,0,0,0,0,143,16,0,0,0,0,0,0,0,0,1,0,0,0,56,0,96,0,7,6,27,6,55,7,1
CD,0,0,0,0,0,4,0,0,0,0,0,0,0,0,17,48,0,0,0,1,0,0,0,0,0,1,0,0,6,0,27,0,5,53,1,0,0,0,0
KS,0,0,0,0,0,39,2,0,0,3,0,0,0,1,186,20,0,0,0,0,0,0,0,1,0,0,0,0,41,0,52,0,2,18,2,0,31,1,0
MT,0,0,1,0,0,13,0,0,0,0,0,0,0,0,60,53,0,0,0,1,0,0,0,0,0,0,0,0,13,0,50,0,0,22,42,0,12,0,0
SD,0,0,0,0,0,59,0,0,0,0,0,0,0,0,74,0,9,0,0,0,0,0,3,0,0,0,0,0,17,0,22,0,27,10,0,0,11,0,0
DG,0,0,0,0,0,61,0,0,0,0,0,0,0,0,176,12,0,0,0,0,0,0,0,0,0,0,0,0,108,0,38,0,1,3,6,0,1,0,0
LO,0,0,0,0,0,28,0,0,0,0,0,0,0,0,91,21,74,0,0,3,1,0,0,0,0,0,0,0,6,0,86,0,20,43,61,0,9,0,0
NC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,7,6,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,14,0,0,1,0,0
TB,0,0,3,0,0,31,0,0,0,0,0,0,0,0,174,63,1,0,0,6,0,1,0,0,1,1,0,0,136,1,210,0,7,42,38,0,3,0,0
CC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,17,1,0,15,0,0
LQ,0,0,0,0,0,36,0,0,0,0,0,1,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,31,0,1,9,11,0,4,0,0
KD,0,0,0,0,0,9,0,0,0,0,0,0,0,0,19,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83,0,18,48,7,0,114,0,0
NT,1,1,2,0,0,4,9,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,15,1,0,5,13,0,1,0,1
UK,0,0,0,0,0,16,0,0,0,0,0,0,0,0,84,46,0,0,0,3,0,0,0,0,0,0,0,0,14,0,128,0,8,6,19,0,12,19,0
JO,0,0,0,0,0,5,0,0,0,0,0,0,0,0,31,116,66,0,0,0,0,0,0,0,0,0,0,0,6,0,81,0,3,41,40,0,7,0,0
LV,0,0,0,0,0,29,0,0,0,0,0,0,0,0,13,8,2,0,1,0,0,0,0,0,0,0,0,0,5,0,10,1,5,10,3,0,2,0,0
BR,0,0,0,0,1,5,0,0,0,0,0,0,0,0,184,66,50,0,0,0,3,0,0,0,0,1,0,0,34,0,58,0,2,66,85,0,4,0,0
LZ,0,0,0,0,0,2,0,0,0,0,0,0,0,0,49,30,33,0,0,0,0,0,0,0,0,0,0,0,5,0,39,0,4,42,56,0,8,0,0
ROSS,0,0,0,0,0,8,0,0,0,0,0,0,0,0,19,12,0,0,0,0,1,0,0,0,0,0,4,0,18,0,32,0,0,11,11,0,1,0,2
BI,0,0,0,0,0,14,0,0,0,0,0,0,0,0,44,9,52,0,0,1,1,0,2,0,0,1,0,0,0,0,21,0,7,12,1,0,90,0,0
