island_name,Agkistrodon_contortrix,Agkistrodon_piscivorus,Arizona_elegans,Carphophis_amoenus,Carphophis_vermis,Cemophora_coccinea,Clonophis_kirtlandii,Coluber_constrictor,Coniophanes_imperialis,Crotalus_adamanteus,Crotalus_atrox,Crotalus_horridus,Diadophis_punctatus,Drymarchon_corais,Drymarchon_couperi,Drymobius_margaritiferus,Farancia_abacura,Farancia_erytrogramma,Ficimia_streckeri,Heterodon_nasicus,Heterodon_platirhinos,Heterodon_simus,Hypsiglena_jani,Lampropeltis_calligaster,Lampropeltis_elapsoides,Lampropeltis_extenuata,Lampropeltis_gentilis,Lampropeltis_getula,Lampropeltis_holbrooki,Lampropeltis_nigra,Lampropeltis_triangulum,Leptodeira_septentrionalis,Masticophis_flagellum,Masticophis_schotti,Micrurus_fulvius,Micrurus_tener,Nerodia_clarkii,Nerodia_cyclopion,Nerodia_erythrogaster,Nerodia_fasciata,Nerodia_floridana,Nerodia_rhombifer,Nerodia_sipedon,Nerodia_taxispilota,Opheodrys_aestivus,Opheodrys_vernalis,Pantherophis_alleghaniensis,Pantherophis_bairdi,Pantherophis_emoryi,Pantherophis_guttatus,Pantherophis_obsoletus,Pantherophis_slowinskii,Pantherophis_spiloides,Pantherophis_vulpinus,Pituophis_catenifer,Pituophis_melanoleucus,Pituophis_ruthveni,Regina_alleni,Regina_grahami,Regina_rigida,Regina_septemvittata,Rena_dulcis,Rhadinaea_flavilata,Rhinocheilus_lecontei,Salvadora_grahamiae,Seminatrix_pygaea,Sistrurus_catenatus,Sistrurus_miliarius,Sonora_semiannulata,Storeria_dekayi,Storeria_occipitomaculata,Tantilla_coronata,Tantilla_gracilis,Tantilla_nigriceps,Tantilla_oolitica,Tantilla_relicta,Thamnophis_brachystoma,Thamnophis_butleri,Thamnophis_marcianus,Thamnophis_proximus,Thamnophis_sauritus,Thamnophis_sirtalis,Virginia_striatula,Virginia_valeriae
Fort_Matanzas_FL(FLMN),0,14,0,0,0,14,0,22,0,12,0,0,3,0,5,0,2,3,0,0,3,0,0,0,8,0,0,2,0,0,0,0,8,0,0,0,0,0,0,18,0,0,0,1,16,0,17,0,0,27,0,0,0,0,0,1,0,2,0,3,0,0,8,0,0,7,0,13,0,1,1,0,0,0,0,0,0,0,0,0,17,9,0,0
Fire_Island_NY,0,0,0,3,0,0,0,24,0,0,0,0,23,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,131,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,15,104,0,0
Sapelo_Island_GA,4,3,0,0,0,3,0,29,0,5,0,2,12,0,6,0,5,4,0,0,3,0,0,0,11,0,0,22,0,0,0,0,13,0,3,0,0,0,3,29,0,0,0,9,10,0,7,0,0,7,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,11,15,20,0
Nantucket_MA,0,0,0,0,0,0,0,12,0,0,0,0,11,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,26,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,7,30,0,0
Nomans_Land_MA,0,0,0,0,0,0,0,13,0,0,0,0,11,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,26,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,7,35,0,0
Long_Island_NY,64,0,0,50,0,0,0,81,0,0,0,21,158,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,127,0,15,5,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,4,0,0,0,0,0,0,0,0,0,44,210,0,0
Staten_Island_NY,1,0,0,10,0,0,0,7,0,0,0,0,21,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,2,12,0,1
Prudence_Island_RI,0,0,0,3,0,0,0,29,0,0,0,0,73,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,55,0,0,50,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,10,0,0,0,0,0,0,0,0,0,22,155,0,0
Block_Island_RI,0,0,0,3,0,0,0,29,0,0,0,0,73,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,50,0,0,51,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,10,0,0,0,0,0,0,0,0,0,22,150,0,0
Assateague_MD,5,0,0,14,0,0,0,11,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,2,1,0,2
Chincoteague_VA,5,0,0,14,0,0,0,11,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,2,1,0,2
Wallops_VA,5,0,0,14,0,0,0,11,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,2,1,0,2
Parramore_VA,5,0,0,14,0,0,0,11,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,2,1,0,2
Revel_VA,5,0,0,14,0,0,0,11,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,2,1,0,2
Hog_VA,5,0,0,14,0,0,0,11,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,2,1,0,2
Cobb_VA,5,0,0,14,0,0,0,11,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,2,1,0,2
Wreck_VA,5,0,0,14,0,0,0,11,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,2,1,0,2
Myrtle_VAD,5,0,0,14,0,0,0,11,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,2,1,0,2
Smith_VA,5,0,0,14,0,0,0,11,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,2,1,0,2
