island_name,Aviceda leuphotes,Accipter virgatus,Spizaetus cirrhatus,Spilornis cheela,Spilornis elgini,Coracina striata,Pericrocotus flammeus,Coracina novaehollandiae,Pericrocotus cinnamomeus,Ducula bicolor,Columba palumboides,Macropygia rufipennis,Chalcophaps indica,Treron pompadora,Ducula aenea,Eurystomus orientalis,Dendrocitta bayleyi,Pachycephala grisola,Chrysococcyx xanthorhynchus,Cuculus micropterus,Eudynamus scolopacea,Centropus andamanensis,Dicaeum concolor,Dicrurus andamanensis,Dicrurus paradiseus,Irena puella,Merops leschenaultii,Terpsiphone paradisi,Hypothymis azurea,Copsychus malabaricus,Copsychus saularis,Nectarinia jugularis,Oriolus xanthornus,Oriolus chinensis,Dryocopus javanensis,Dendrocopos macei,Psittacula alexandri,Psittacula longicauda,Psittacula eupatria,Loriculus vernalis,Pycnonotus atriceps,Pycnonotus jocosus,Aplonis panayensis,Gracula religiosa,Sturnus erythropygius,Zoothera citrina,Zosterops palpebrosa
Alexandria,0,0,0,2,0,0,4,1,0,0,0,1,1,0,8,1,4,0,0,0,1,4,0,4,6,5,1,0,2,0,0,2,0,4,2,0,6,2,2,1,0,4,10,2,0,0,0
Aves,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,8,4,0,1,0,1
Baratang,1,1,1,1,13,1,16,4,29,0,2,4,10,5,94,2,9,1,0,4,1,7,19,41,31,26,2,0,12,1,4,12,2,28,11,3,20,39,6,5,13,33,101,23,12,1,2
Chester,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,2,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Curlew,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,3,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0
Delgarno,0,0,0,0,3,0,3,0,13,0,0,0,0,24,22,0,0,8,0,0,2,3,2,0,6,2,2,0,7,0,5,15,0,12,0,4,0,2,11,6,0,25,14,15,10,6,14
East,0,0,0,1,4,0,0,2,3,0,0,0,0,6,2,0,0,1,0,0,0,0,4,0,6,1,2,0,3,0,3,6,0,4,0,0,3,1,0,3,0,14,0,1,3,0,1
Egg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
Excelsior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,1,1,0,4,0,1,7,0,10,0,2,0,0,0,7,0,36,4,0,8,9,31
Grub,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,10,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
Guitar,2,0,0,0,2,0,3,2,32,0,0,0,0,0,1,0,0,8,0,0,0,0,1,0,11,3,1,0,8,0,1,22,0,10,0,6,0,3,1,8,2,3,11,2,4,0,4
Havelock,0,0,1,9,1,0,1,6,6,0,0,2,2,6,30,2,0,0,0,1,2,4,2,6,7,7,4,0,4,0,20,2,0,6,6,3,9,6,12,5,0,4,10,4,10,0,0
Inglis,0,0,0,0,0,0,0,2,15,0,0,0,1,12,2,0,0,5,0,0,0,2,2,0,4,5,0,0,4,0,3,6,0,10,0,1,8,2,1,2,0,20,8,0,2,0,2
John Lawrence,1,1,1,1,1,0,12,1,39,0,6,1,2,10,43,1,1,1,1,1,1,2,6,8,8,28,1,0,9,1,1,12,0,18,7,3,1,13,2,7,1,34,36,1,8,1,4
Jolly Buoy,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,2,1,0,0,0,0,1,0,2,0,0,0,2,0
Landfall,0,0,0,1,1,0,0,2,10,0,0,0,0,1,13,0,0,1,0,0,2,1,1,0,3,1,1,0,4,0,2,15,0,1,0,4,2,1,0,4,0,15,6,1,12,0,24
Little Andaman,1,1,2,3,4,2,18,3,7,1,0,3,5,18,51,2,2,3,0,5,8,8,8,21,22,24,9,0,20,2,6,13,0,31,16,10,79,20,4,23,13,40,30,35,14,2,1
Long,2,1,1,1,5,0,4,2,27,0,5,3,5,3,31,1,10,5,1,2,2,12,12,19,24,25,1,0,11,1,2,12,0,34,14,2,3,7,16,9,6,13,32,7,6,2,2
Malay,0,0,0,1,0,0,4,4,2,0,1,1,0,3,2,0,0,1,0,1,1,0,2,0,3,3,0,0,2,0,1,2,0,4,2,0,2,2,0,0,0,2,0,2,0,1,2
North Andamans,2,2,1,3,10,0,20,10,17,1,0,2,9,11,54,1,10,1,1,2,3,7,22,16,27,13,2,0,14,0,9,18,1,20,11,2,4,27,16,21,5,21,14,10,11,1,6
North Button,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,2,0,0,1,2,0,0,0,1,6,0,2,0,0,0,2,0,0,0,7,0,0,1,1,2
North Passage,1,0,1,1,2,0,7,1,5,0,0,0,11,7,29,1,0,3,0,1,1,3,7,9,5,10,1,0,3,1,2,15,0,13,2,2,5,3,2,3,5,23,8,5,15,2,2
