"island_name","Ateuchus.aff..ovalis","Ateuchus.subquadratus","Canthidium.sp.2","Canthidium.sp.3","Canthidium.sp.4","Canthidium.sp.5","Canthidium.sp.6","Canthidium.sp.7","Canthon.aff..luctuosus","Chalcocopris.hesperus","Coprophanaeus.magnoi","Deltochilum.brasiliense","Deltochilum.pseudoicarus","Deltochilum.sp.1","Deltochilum.sp.2","Dichotomius.aff..zikani","Dichotomius.affinis","Dichotomius.bechynei","Dichotomius.crinicollis","Dichotomius.fissus","Dichotomius.punctulatipennis","Dichotomius.sp.1","Dichotomius.sp.2","Dichotomius.sp.3","Dichotomius.sp.4","Dichotomius.sp.5","Dichotomius.sp.6","Eurysternus.cyanescens","Eurysternus.hirtellus","Holocephalus.eridanus","Ontherus.sp.1","Onthophagus.aff..hirculus","Paracanthon.sp.1","Phanaeus.dejeani","Sulcophanaeus.menelas","Sylvicanthon.foveiventris","Trichillum.sp.3","Uroxys.aterrima","Uroxys.sp.1","Uroxys.sp.2"
"Forest_island_1",0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,5,27
"Forest_island_10",0,0,0,0,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,2,0,0,0,15,4,0,0,0,0,8,19,21
"Forest_island_11",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,6,0,2,0,0,2,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,29,98
"Forest_island_12",0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,309
"Forest_island_13",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,0,1,2,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,5,27
"Forest_island_14",2,0,0,3,6,1,0,0,0,0,0,0,0,0,2,0,5,1,0,2,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,13,0,0,22,62
"Forest_island_2",0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,19,6,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,81
"Forest_island_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,14,85
"Forest_island_4",0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,8,3,0,6,0,1,2,0,0,0,0,12,19,1,0,0,8,0,0,17,1,0,1,54
"Forest_island_5",0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,22,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,12,64,159
"Forest_island_6",0,0,0,1,1,2,1,1,0,0,0,5,0,0,0,1,1,37,0,6,0,0,3,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,23,95
"Forest_island_7",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,7,4,0,1,0,0,0,0,0,0,5,0,0,0,0,5,21,82
"Forest_island_8",0,0,0,1,3,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,13
"Forest_island_9",0,0,0,1,0,1,0,0,0,15,0,0,0,0,5,0,0,26,0,10,1,0,13,0,0,0,0,9,0,0,0,0,2,2,0,1,0,0,3,120
