"island_name","Sooty.tern","Lesser.noddy","Brown.noddy","Fairy.tern","Roseate.tern","Lesser.frigate.bird","Red.footed.booby","Ruddy.turn..stone","Whimbrel","Curlew.sand.piper"
"Albatross Islans",405000,49500,18600,3840,0,30,0,116,0,0
"Avocaire",0,564,3,138,0,0,0,10,1,0
"Baleine",0,0,84,9,4,0,0,0,0,0
"Bouquet",0,2,335,91,0,0,0,50,1,0
"Chaloupe",1,6,29,1,21,0,0,10,0,11
"Courson",0,0,35,18,0,0,0,0,0,0
"Digier",0,0,58,2,6,0,0,9,0,0
"Fregate",8,2,0,30,0,0,0,6,0,0
"Grand Capitaine",0,7200,7990,1830,0,65,0,740,0,0
"Grand Dagorne",0,0,119,4,0,0,0,0,0,0
"Grand Dagorne South",0,3,8,6,0,2,0,2,0,0
"ile Cocos",0,2210,279,607,241,0,0,194,0,164
"ile du Sud",0,8130,1300,1380,0,0,0,110,9,0
"ile Longue",0,19,20,5,7,0,0,0,0,0
"ile Paul",320,8500,0,6000,0,39,69,767,372,0
"ile Raphael",0,215,6220,25,0,0,0,23,5,1
"ile Tortue",0,124,287,28,0,0,0,13,1,0
"La Derive",0,0,102,2,0,0,0,6,1,0
"Loup Garou",0,0,27,0,0,0,0,0,0,0
"Petit Capitaine",0,2,63,4,14,0,0,0,0,0
"Petit Dagorne",0,1,18,0,0,0,0,0,0,0
"Petit Raphael South",4,0,0,7,1,0,0,10,2,1
"Puits a Eau",41300,0,2,0,0,0,0,45,21,0
"Roseate Island",0,0,2,0,18,0,0,0,0,0
"Sirene",3860,4730,9920,3540,0,0,0,28,0,0
