"island_name","Brambling","Chaffinch","Common.sandpiper","Fieldfare","Great.tit","Greenfinch","Meadow.pipit","Redpoll","Redstart","Redwing","Reed.bunting","Sand.martin","Siberian.tit","Siskin","Spotted.flycatcher","Tree.pipit","Waxwing","Wheatear","White.wagtail","Willow.warbler","Yellow.wagtail"
"H12",4,0,1,0,0,0,0,0,2,0,0,0,0,1,7,0,0,0,0,2,0
"H32",12,6,0,0,0,0,0,8,6,0,0,0,1,4,0,1,0,0,0,5,0
"H46",6,3,1,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5
"H55",9,0,0,0,2,1,0,14,6,0,0,0,0,5,7,0,0,0,0,7,3
"H9",4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0
"U104",0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
"U33",0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"U45",0,0,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"U58",3,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,3
"U60",3,0,1,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,10,2
"UD",8,0,1,0,0,0,1,0,3,0,0,0,0,0,6,0,0,0,0,4,4
