"island_name","Tahiti.petrel","Murphy‚.ö√.√.s.petrel","Kermadec.petrel","Juan.Fernandez.petrel","Red.tailed.tropic.bird","White.tailed.tropic.bird","Masked.booby","Brown.booby","Red.footed.booby","Lesser.frigatebird","Greater.frigatebird","Reef.heron","Spotless.crake","Pacific.golden.plover","Bristle.thighed.curlew","Wandering.Tattler","Tuamotu.sandpiper","Sanderling","Crested.tern","Sooty.tern","Grey.backed.tern","Black.noddy","Brown.noddy","Blue.grey.noddy","Common.white.tern","Laughing.gull","Polynesian.gr.dove","Atoll.fruit.dove","Rock.dove","Long.tailed.cuckoo","Tuamotu.reed.warbier"
"Ahunui",0,0,0,0,13,0,1,1,313,1,9,9,0,0,34,32,0,0,42,2,0,288,837,0,260,0,0,1,0,0,22
"Fakarava",0,0,0,0,0,0,0,146,143,0,135,3,0,1,11,14,1,0,15,0,5,141,91,0,289,0,0,0,0,2,0
"Gambier Is",20,0,2,0,0,20,0,20,0,0,20,5,0,3,0,40,0,0,3,0,2,20,150,8,600,1,0,0,12,10,0
"Haraiki",0,0,0,0,0,0,0,0,3,5,0,25,0,38,31,44,0,0,7,2,2,100,333,0,100,0,0,0,0,0,43
"Manuhangi",0,0,0,0,0,0,2,2,99,0,5,11,0,2,28,18,0,0,5,2,0,23,19,0,193,0,0,0,0,0,12
"Maria",0,0,0,0,442,0,7,88,397,0,220,7,0,3,41,5,0,1,0,2,0,31,72,0,265,0,0,0,0,0,0
"Morane",0,0,25,0,33,0,190,0,316,3,173,17,0,1,22,47,530,0,11,3,0,26,900,0,1260,0,10,0,0,1,0
"Paraoa",0,0,0,0,18,0,0,0,72,1,40,17,0,1,54,12,0,0,24,0,0,88,233,0,494,0,0,0,0,0,46
"Reitoru",0,3,0,0,78,0,2,0,612,1200,810,23,0,5,42,30,57,0,27,0,0,44,660,0,1184,0,0,0,0,1,40
"Tahanea",0,0,0,1,0,0,3,55,175,310,60,42,1,9,53,47,185,0,84,0,2,540,860,0,560,0,0,11,0,1,55
"Tekokota",0,0,0,0,1,0,2,3,406,0,12,11,0,4,13,55,0,0,0,754,0,11,1068,0,505,0,0,0,0,0,0
