"island_name","Anthicidae.sp.1","Anthribidae.sp.1","Anthribidae.sp.2","Anthribidae.sp.3","Anthribidae.sp.4","Anthribidae.sp.5","Anthribidae.sp.6","Anthribidae.sp.7","Anthribidae.sp.8","Anthribidae.sp.9","Anthribidae.sp.10","Anthribidae.sp.11","Anthribidae.sp.12","Anthribidae.sp.13","Anthribidae.sp.14","Anthribidae.sp.15","Anthribidae.sp.16","Anthribidae.sp.17","Anthribidae.sp.18","Anthribidae.sp.19","Anthribidae.sp.20","Anthribidae.sp.21","Anthribidae.sp.22","Anthribidae.sp.23","Anthribidae.sp.24","Anthribidae.sp.25","Anthribidae.sp.26","Anthribidae.sp.27","Anthribidae.sp.28","Anthribidae.sp.29","Anthribidae.sp.30","Anthribidae.sp.31","Anthribidae.sp.32","Anthribidae.sp.33","Anthribidae.sp.34","Anthribidae.sp.35","Brentidae.sp.1","Brachinini.sp.1","Carabidae.sp.1","Carabidae.sp.2","Carabidae.sp.3","Carabidae.sp.4","Carabidae.sp.5","Carabidae.sp.6","Cicindela.aurulenta","Cicindelini.sp.1","Cyindidina.sp.1","Diplocheila.sp.1","Dromiina.sp.1","Harpalini.sp.1","Harpalini.sp.2","Perigona.sp.1","Platymetopus.sp.1","Pseudozaena.sp.1","Pterostichinae.sp.1","Tachyina.sp.1","Tachyina.sp.2","Tachyina.sp.3","Tachyina.sp.4","Tachyina.sp.5","Tachyina.sp.6","Tachyina.sp.7","Tachyina.sp.8","Tachyina.sp.9","Cerambycidae.sp.1","Cerylonidae.sp.1","Chrysomelidae.sp.1","Chrysomelidae.sp.2","Chrysomelidae.sp.3","Chrysomelidae.sp.4","Chrysomelidae.sp.5","Chrysomelidae.sp.6","Chrysomelidae.sp.7","Chrysomelidae.sp.8","Chrysomelidae.sp.9","Ciidae.sp.1","Clambidae.sp.1","Clambidae.sp.2","Clambidae.sp.3","Clambidae.sp.4","Clambidae.sp.5","Clambidae.sp.6","Clambidae.sp.7","Coccinelidae.sp.1","Coccinelidae.sp.2","Coccinelidae.sp.3","Coccinelidae.sp.4","Coccinelidae.sp.5","Cucujidae.sp.1","Cryptophagidae.sp.1","Curculionidae.sp.1","Curculionidae.sp.2","Curculionidae.sp.3","Curculionidae.sp.4","Curculionidae.sp.5","Curculionidae.sp.6","Curculionidae.sp.7","Curculionidae.sp.8","Curculionidae.sp.9","Curculionidae.sp.10","Curculionidae.sp.11","Curculionidae.sp.12","Curculionidae.sp.13","Curculionidae.sp.14","Curculionidae.sp.15","Curculionidae.sp.16","Curculionidae.sp.17","Curculionidae.sp.18","Elateridae.sp.1","Elateridae.sp.2","Elateridae.sp.3","Elateridae.sp.4","Elateridae.sp.5","Elateridae.sp.6","Elateridae.sp.7","Elateridae.sp.8","Endomycidae.sp.1","Histeridae.sp.1","Histeridae.sp.2","Histeridae.sp.3","Histeridae.sp.4","Histeridae.sp.5","Histeridae.sp.6","Histeridae.sp.7","Hyborosidae.sp.1","Hydrophilidae.sp.1","Hydrophilidae.sp.2","Hydrophilidae.sp.3","Hydrophilidae.sp.4","Hydrophilidae.sp.5","Hydrophilidae.sp.6","Hydrophilidae.sp.7","Hydrophilidae.sp.8","Hydrophilidae.sp.9","Laemophloidae.sp.1","Laemophloidae.sp.2","Laemophloidae.sp.3","Laemophloidae.sp.4","Laemophloidae.sp.5","Laemophloidae.sp.6","Laemophloidae.sp.7","Lampyridae.sp.1","Latridiidae.sp.1","Latridiidae.sp.2","Latridiidae.sp.3","Latridiidae.sp.4","Monotoma.sp.1","Mordelidae.sp.1","Nitidulidae.sp.1","Nitidulidae.sp.2","Nitidulidae.sp.3","Nitidulidae.sp.4","Nitidulidae.sp.5","Nitidulidae.sp.6","Nitidulidae.sp.7","Nitidulidae.sp.8","Nitidulidae.sp.9","Nitidulidae.sp.10","Nitidulidae.sp.11","Nitidulidae.sp.12","Nitidulidae.sp.13","Nitidulidae.sp.14","Nitidulidae.sp.15","Nitidulidae.sp.16","Nitidulidae.sp.17","Nitidulidae.sp.18","Nitidulidae.sp.19","Nitidulidae.sp.20","Nitidulidae.sp.21","Nitidulidae.sp.22","Nitidulidae.sp.23","Nitidulidae.sp.24","Caccobius.aff.unicornis","Dynastinae.sp.1","Oniticellus","Onthophagus.accendens","Onthophagus.javacupreus","Onthophagus.javanensis","Onthophagus.limbatus","Onthophagus.rudis","Onthophagus.sp.1","Onthophagus.sp.2","Onthophagus.sp.3","Onthophagus.sp.4","Onthophagus.sp.5","Onthophagus.sp.6","Onthophagus.sp.7","Onthophagus.sp.8","Onthophagus.sp.9","Onthophagus.sp.10","Onthophagus.sp.11","Onthophagus.sp.12","Onthophagus.sp.13","Onthophagus.sp.14","Onthophagus.tricornis","Onthophagus.trituber","Rhysemus.sp.1","Rhysemus.sp.2","Platypodidae.sp.1","Ptiliidae.sp.1","Ptiliidae.sp.2","Ptilodactylidae.sp.1","Ptilodactylidae.sp.2","Rhizophagidae.sp.1","Scydmaenidae.sp.1","Scydmaenidae.sp.2","Silvanidae.sp.1","Allerulinae.sp.1","Leichenum.sp.1","Leichenum.sp.2","Tenebrionidae.sp.1","Tenebrionidae.sp.2","Tenebrionidae.sp.3","Tenebrionidae.sp.4","Tenebrionidae.sp.5","Tenebrionidae.sp.6","Tenebrionidae.sp.7","Tenebrionidae.sp.9","Tenebrionidae.sp.10","Tenebrionidae.sp.12","Tenebrionidae.sp.13","Trogidae.sp.1","Xylosandrus.compactus","Xylosandrus.morigerus","Xylonsandrus.crassiusculus","Xyleborus.perforans","Xyleborus.affinis","Xyleborus.similis","Dryocoetiops.coffeae","Xyleborinus.perminutissimus","Xyleborinus.andrewesi","Xyleborinus.exiguus","Hypothenemus.spp.","Cryphalus.spp.","Coccotrypes.spp.","Scolytidae.sp..1","Scolytidae.sp..2"
"Bokor",0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,3,0,0,0,0,0,0,0,0,6,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,20,1,29,0,0,0,0,0,1,1,0,0
"Damar Besar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,6,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18,18,1,0,0,0,0,0,0,1,0,0
"Kotok Besar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,107,17,165,192,29,0,0,0,0,0,0,7,32,0,0
"Lancang Besar",0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,14,6,0,1,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,22,0,211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,29,8,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,2,0,0,639,0,123,7,10,0,3,1,0,0,0,0,0,0,0,0,0,23,36,0,0,0,0,0,0,1,11,0,0
"Opak Besar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,157,16,0,0,0,0,0,0,0,2,0,0
"Pemagaran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,62,2,3,93,40,0,0,0,0,0,0,0,5,0,0
"Pramuka",0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,2,12,31,0,4,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,16,1,0,0,20,0,21,22,13,0,0,1,2,0,0,0,0,0,77,1,1,55,99,2,0,0,0,0,0,2,0,0,0
"Putri Barat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,21,10,0,0,0,1,1,0,0,9,0,0
"Rambut",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,5,0,75,1,0,1,63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,6,0,0,7,11,4,23,0,0,0,0,1,0,0,0,0
"Untung Jawa",2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,0,2,4,0,0,0,0,2,10,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38,0,4,0,18,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,12,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,8,2,0,0,0,0,1,0,6,23,29,6,13,0,0,0,0,0,0,0,0,0,2,19,6,6,0,0,0,0,0,0,0,0,0,0,8,2,4,0,0,2,0,4,0,0,0,0,0,0,0,0,0,46,21,2,0,0,0,0,0,2,6,0,0
