"island_name","Andrenidae_sp01","Andrenidae_sp02","Andrenidae_sp03","Apidae_sp01","Apidae_sp02","Apidae_sp03","Apidae_sp04","Apidae_sp05","Apidae_sp06","Apidae_sp07","Apidae_sp08","Apidae_sp09","Apidae_sp10","Apidae_sp11","Apidae_sp12","Apidae_sp13","Apidae_sp14","Apidae_sp15","Apidae_sp16","Apidae_sp17","Apidae_sp18","Apidae_sp19","Apidae_sp20","Apidae_sp21","Apidae_sp22","Bethylidae_sp01","Bethylidae_sp02","Bethylidae_sp03","Bethylidae_sp04","Bethylidae_sp05","Bethylidae_sp06","Bethylidae_sp07","Bethylidae_sp08","Bethylidae_sp09","Bethylidae_sp10","Bethylidae_sp11","Bethylidae_sp12","Bethylidae_sp13","Bethylidae_sp14","Bethylidae_sp15","Bethylidae_sp16","Bethylidae_sp17","Bethylidae_sp18","Bethylidae_sp19","Bethylidae_sp20","Bethylidae_sp21","Bethylidae_sp22","Chrysididae_sp01","Chrysididae_sp02","Chrysididae_sp03","Chrysididae_sp04","Colletidae_sp01","Crabronidae_sp01","Crabronidae_sp02","Crabronidae_sp03","Crabronidae_sp04","Crabronidae_sp05","Crabronidae_sp06","Crabronidae_sp07","Crabronidae_sp08","Crabronidae_sp09","Crabronidae_sp10","Crabronidae_sp11","Crabronidae_sp12","Crabronidae_sp13","Crabronidae_sp14","Crabronidae_sp15","Crabronidae_sp16","Crabronidae_sp17","Crabronidae_sp18","Crabronidae_sp19","Crabronidae_sp20","Crabronidae_sp21","Crabronidae_sp22","Crabronidae_sp23","Crabronidae_sp24","Crabronidae_sp25","Crabronidae_sp26","Crabronidae_sp27","Crabronidae_sp28","Crabronidae_sp29","Crabronidae_sp30","Crabronidae_sp31","Crabronidae_sp32","Crabronidae_sp33","Crabronidae_sp34","Crabronidae_sp35","Dryinidae_sp01","Dryinidae_sp02","Dryinidae_sp03","Dryinidae_sp04","Dryinidae_sp05","Dryinidae_sp06","Dryinidae_sp07","Dryinidae_sp08","Dryinidae_sp09","Embolemidae_sp01","Embolemidae_sp02","Halictidae_sp01","Halictidae_sp02","Halictidae_sp03","Halictidae_sp04","Halictidae_sp05","Halictidae_sp06","Halictidae_sp07","Halictidae_sp08","Halictidae_sp09","Halictidae_sp10","Halictidae_sp11","Halictidae_sp12","Halictidae_sp13","Halictidae_sp14","Halictidae_sp15","Halictidae_sp16","Halictidae_sp17","Halictidae_sp18","Halictidae_sp19","Halictidae_sp21","Mutillidae_sp01","Mutillidae_sp02","Mutillidae_sp03","Mutillidae_sp04","Mutillidae_sp05","Mutillidae_sp06","Mutillidae_sp07","Mutillidae_sp08","Mutillidae_sp09","Mutillidae_sp10","Mutillidae_sp11","Mutillidae_sp12","Mutillidae_sp13","Mutillidae_sp14","Mutillidae_sp15","Mutillidae_sp16","Pompilidae_sp01","Pompilidae_sp02","Pompilidae_sp03","Pompilidae_sp04","Pompilidae_sp05","Pompilidae_sp06","Pompilidae_sp07","Pompilidae_sp08","Pompilidae_sp09","Pompilidae_sp10","Pompilidae_sp11","Pompilidae_sp12","Pompilidae_sp13","Pompilidae_sp14","Pompilidae_sp15","Pompilidae_sp16","Pompilidae_sp17","Pompilidae_sp18","Pompilidae_sp19","Pompilidae_sp20","Pompilidae_sp21","Pompilidae_sp22","Pompilidae_sp23","Pompilidae_sp24","Pompilidae_sp25","Pompilidae_sp26","Pompilidae_sp27","Pompilidae_sp28","Pompilidae_sp29","Pompilidae_sp30","Pompilidae_sp31","Pompilidae_sp32","Pompilidae_sp33","Pompilidae_sp34","Pompilidae_sp35","Pompilidae_sp36","Pompilidae_sp37","Pompilidae_sp38","Pompilidae_sp39","Pompilidae_sp40","Pompilidae_sp41","Scoliidae_sp01","Scoliidae_sp02","Scoliidae_sp03","Scoliidae_sp04","Sphecidae_sp01","Sphecidae_sp02","Sphecidae_sp03","Sphecidae_sp04","Sphecidae_sp05","Sphecidae_sp06","Tiphiidae_sp01","Tiphiidae_sp02","Tiphiidae_sp03","Tiphiidae_sp05","Tiphiidae_sp06","Tiphiidae_sp07","Tiphiidae_sp08","Tiphiidae_sp09","Tiphiidae_sp10","Tiphiidae_sp11","Tiphiidae_sp12","Tiphiidae_sp13","Tiphiidae_sp14","Tiphiidae_sp15","Vespidae_sp01","Vespidae_sp02","Vespidae_sp03","Vespidae_sp04","Vespidae_sp05","Vespidae_sp06","Vespidae_sp07","Vespidae_sp08","Vespidae_sp09","Vespidae_sp10","Vespidae_sp11","Vespidae_sp12","Vespidae_sp13","Vespidae_sp14"
"1",0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,2,12,44,0,0,0,0,0,19,2,0,6,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
"10",1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12,0,7,13,0,0,0,0,0,2,0,2,4,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,1,20,0,0,0,0,4,1,2,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,21,41,3,0,0,1,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,1,5,0,0,0,0
"11",0,0,0,2,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,4,48,61,16,0,0,0,1,4,2,0,2,3,0,0,0,0,4,3,0,0,0,1,1,2,1,2,1,0,0,0,0,1,0,1,0,2,3,1,2,1,0,0,0,7,1,1,0,1,1,0,0,4,6,0,0,0,0,0,2,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,7,1,1,0,0,0,0,1,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,2,0,0,1,0,0,0,0,0,0,0,2,2,0,2,4,6,0,1,4,0,0,6,15,5,0,0,0,0,2,6,0,0,0,0,0,2,1,4,3,0,0,0,1,2,3,0,0,30,21,3,0,2,7,0,0,0,0,0,0,0,0,26,41,0,1,0,0,3,0,0,0,1,1,0,0
"12",0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,6,3,1,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,6,3,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,14,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,10,2,0,0,0,16,0,0,0,1,0,0,0,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,24,5,5,53,1,0,1,0,0,2,1,0,0,0,0,0,1,1,1,0,1,5,3,5,0,31,29,160,137,0,0,2,0,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,1,4,1,0,0,0,0,0,0,0,0,1,1,0,5,1,2,1,1,0,3,0,0,0,0,0,0,1,10,0,0,0,5,2,0,1,1,0,3,2,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,7,0,3,2,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9,6,1,10,0,0,10,1,0,0,0,1,22,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,18,5,16,21,8,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,1,0,0,0,2,5,0,0,0,0,7,13,0,0,0,0,0,5,0,23,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,3,0,2,0,0,0,0,7,0,1,0,2,0,1,28,0,1,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,40,1,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,34,0,12,81,0,0,0,1,0,19,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,1,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,8,2,0,2,2,0,0,0,0,0,0,1,1,0,0,12,0,0,0,0,1,0,0,0,0,0,0,1
"4",0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1,6,0,6,14,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,9,0,0,1,1,0,0,0,1,0,0,0,0
"5",1,1,1,12,2,1,0,0,0,2,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,1,17,6,7,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,3,4,0,14,0,0,0,1,1,0,2,0,0,0,0,1,0,6,0,0,2,0,0,2,1,0,1,0,0,0,0,0,0,1,1,0,0,6,0,0,2,0,0,1,0,1,0,0,1,0,1,0,6,0,1,1,1,0,0,1,1,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,1,0,0,1,0,0,2,52,1,0,9,3,1,3,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,37,4,0,3,0,1,0,0,0,0,0,0,0,0,1,6,0,1,0,0,1,1,0,0,0,0,0,0
