"island_name","Pseudozizeeria.maha","Lycaena.phlaeas","Polygonia.caureum","Pieris.rapae","Papilio.xuthus","Pieris.canidia","Papilio.polytes","Eurema.hecabe","Papilio.bianor","Graphium.sarpedon","Lampides.boeticus","Tongeia.filicaudis","Ypthima.motschulskyi","Chilades.pandava","Hestin.aassimilis","Everes.argiades","Parnara.guttata","Kaniska.canace","Argyreus.hyperbius","Pachliopta.aristolochiae","Colias.erate","Sericinus.montelus","Limenitis.sulpitia","Vanessa.indica","Mycalesis.gotama","Charaxes.bernardus","Celastrina.argiola","Neope.muirheadi","Pelopidas.agna","Pelopidas.mathias","Potanthus.flavus","Papilio.machaon","Hypolimnas.bolina","Celastrina.oreas","Papilio.protenor","Neptis.sappho","Damora.sagana","Vanessa.cardui","Polyura.narcaea","Caltoris.cahira","Ampittia.dioscorides","Rapala.takasagonis","Apatura.ilia","Curetis.acuta","Minois.dryas","Byasa.alcinous","Papilio.memnon","Potanthus.confucius","Mycalesis.mineus","Junonia.almama","Telicota.ancilla","Caltoris.cormasa","Polyura.nepenthes","Parnara.bada","Thymelicus.leoninus","Danaus.chrysippus","Ampittia.nana","Udara.albocaerulea","Papilio.helenus","Lethe.europa","Arhopala.rama","Danaus.genutia","Limenitis.homeyeri","Neptis.pryeri","Araschnia.doris","Ypthima.balda","Satyrium.eximium","Neptis.hylas"
"1",109,57,94,51,25,95,37,42,30,22,5,0,17,47,6,3,1,7,6,5,2,2,7,0,2,0,2,4,4,0,1,0,0,4,6,1,2,0,4,3,1,4,0,2,0,0,0,0,16,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0
"10",26,7,13,13,14,19,5,2,9,2,5,2,1,9,3,1,0,0,0,0,1,0,0,2,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"11",66,7,9,14,11,10,9,9,1,10,2,0,0,1,1,1,0,2,0,4,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",86,46,53,17,3,54,26,11,4,0,2,1,0,0,13,1,0,0,1,11,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",9,5,1,8,2,12,4,11,3,0,6,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",9,8,16,12,6,10,2,36,11,1,0,0,10,2,0,0,3,1,0,0,0,1,0,0,0,0,5,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",33,1,24,24,2,2,18,8,1,18,2,0,0,1,0,0,3,2,1,0,1,0,9,0,0,4,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",6,6,8,4,4,1,1,3,0,5,0,5,6,0,0,2,0,0,0,3,0,0,13,0,0,5,0,0,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",24,6,14,6,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0,2,4,0,11,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",5,1,2,1,3,1,7,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",39,13,129,1,1,74,31,7,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",239,81,136,212,57,10,75,27,45,55,17,0,0,0,11,4,3,3,1,14,6,0,31,8,0,0,0,2,4,2,2,27,0,0,0,0,1,0,2,0,20,0,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",14,5,6,5,12,1,5,17,13,5,0,0,6,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"21",46,12,19,7,5,35,11,0,0,0,3,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",109,36,39,3,2,107,0,6,1,0,4,3,0,0,0,3,26,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
