island_name,"Hamadryas feronia (Linnaeus, 1758)","Callicore sorana (Godart, [1824])","Catonephele acontius (Linnaeus, 1771)","Myscelia orsis (Drury, 1782)",Tribe Preponini,"Archaeoprepona demophoon (Hu ̈bner, [1814])","Fountainea ryphea (Cramer, 1775)","Memphis moruus (Fabr ́ıcius, 1775)","Blepolenis batea (Hu ̈bner, [1821])","Caligo arisbe (Hu ̈bner, [1822])","Dasyophthalma rusina (Godart, [1824])","Eryphanis automedon (Cramer, 1775)","Opoptera syme (Hu ̈bner, [1821])","Opsiphanes invirae (Hu ̈bner, [1808])",Carminda griseldis,"Erichthodes narapa (Schaus, 1902)","Forsterinaria necys (Godart, [1824])","Forsterinaria quantius (Godart, [1824])","Godartiana muscosa (A. Butler, 1870)",Hermeuptychia sp.,"Moneuptychia itapeva (Freitas, 2007)","Moneuptychia soter (A. Butler, 1877)","Paryphthimoides eous (A. Butler, 1867)","Paryphthimoides phronius (Godart, [1824])","Paryphthimoides poltys (Prittwitz, 1865)",Pharneuptychia sp.,"Pharneuptychia phares (Godart, [1824])","Praepedaliodes phanias (Hewitson, 1862)","Yphthimoides angularis (A. Butler, 1867)","Yphthimoides manasses (C. Felder & R. Felder, 1867)","Yphthimoides ochracea (A. Butler, 1867)","Yphthimoides pacta (Weymer, 1911)","Yphthimoides straminea (A. Butler, 1867)","Yphthimoides yphthima (C. Felder & R. Felder, 1867)","Zischkaia pronophila (Butler, 1867)"
1,,,,,,,,,,,,,,,,,,,6,,,1,,,,,,,1,,,,,,
2,,,1,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,3
3,,,,,,,,,2,,,,,,,,,,8,3,2,1,,,,,,,1,,,,2,,
4,,,,,,2,,,,13,1,3,,,,,,9,6,,,,,,,,,,,,,,1,,
5,,,,,,,,,2,,,,,,,1,1,,22,9,5,15,1,13,3,2,1,,1,,2,1,1,1,
6,,,,,,,,,,,,,,,1,,,,1,,,1,,,,1,,,,,,,,,
7,,,,,,1,,,3,5,,,4,,,,,,23,4,1,20,,3,1,1,,,9,,,,3,,
8,,1,,,,,1,,4,4,1,,4,,,,,1,34,,1,,,,1,,,,,,1,,35,,
9,1,,,,,,,,1,1,,1,12,1,,,10,12,13,,,,,,,,,1,,,,,10,1,
10,,,,,,,,,,6,,,5,,,,1,7,65,,,5,,,,,,,,,,,10,1,
11,,,,,,,,,,4,,,,,,,,,11,,,1,,,,1,,,2,1,,,7,,
