island_name,Duttaphrynus melanostictus,Fejervarya cancrivara,Fejendava limnocharis,Microhyla heymonsi,Hoplobatrachus tigerinus,Limnonectes shompenorum,Hylarana nico bariensis,Hylarana erythraea,Polypedates insularis
East West Road,17,3,0,0,0,0,13,36,5
Great Nicobar,19,0,0,1,0,2,17,0,3
Havelock,29,2,11,0,9,0,12,15,2
Iawful Greek,5,0,0,0,0,0,0,0,0
Inglis,0,0,0,0,0,0,0,0,0
Johinder Nagar,5,0,0,2,0,0,0,11,0
John Lawrence,0,0,0,0,0,0,0,0,0
Kondul island,10,0,0,0,0,0,0,0,0
Landfall Island,0,0,0,0,0,0,0,0,0
Little Andaman,7,0,0,0,0,0,0,0,0
Middle Andaman Island,20,0,8,0,0,0,0,0,0
Neil,7,0,0,0,27,0,0,0,0
North Andaman,26,0,34,0,0,0,0,0,0
North Bay,3,0,0,0,0,0,0,0,0
Outram,0,0,0,0,0,0,0,0,0
Peacock Island,0,0,0,0,0,0,0,0,0
Pongibalu,0,0,0,0,0,0,0,0,0
Ross Island,0,0,0,0,0,0,0,0,0
Rutland island,3,0,7,0,0,0,0,0,0
Smith Island,0,0,0,0,0,0,0,0,0
South Andaman,26,1,0,0,0,0,3,4,2
South button,0,0,0,0,0,0,0,0,0
