island_name,Red-tailed ,Tropicbird,White-tailed ,Tropicbird,Great ,Frigatebird ,Lesser ,Frigatebird,Grey Heron ,Cattle Egret ,Dimorphic ,Egret,Ardeola sp. ,Green-backed ,Heron,Butorides striata,Crab Plover ,Greater ,Sand plover,Characirius ,leschenaultii,Turnstone ,Roseate Tern ,Sterna dougaiiii,Caspian Tern ,Sterna caspia,Crested Tern ,Black-naped ,Tern,Brown Noddy ,White Tern 
Goelettes,10,0,0,0,0,0,0,0,10,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0
Grand Polyte,19,0,0,0,0,0,0,0,2,9,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,22,0,0,0,0
Ile aux Rats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ile Baleine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ile du Nord,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Ile du Nord-Est,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,1,2,0,0,0
Ile du Trou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Ile L'Anse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ile Lacroix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ile Obsesrvation,1,0,0,2,2,0,0,0,7,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Ile Sud-Est,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ile aux Macaques,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,35,0
Ile aux Moustiques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pagode,0,0,0,0,10,0,2,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Petit Astove,2,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,60,0
Petit Polyte,0,0,0,0,0,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0
Un-named Island,0,0,0,0,0,0,0,0,7,0,3,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0
