island_name,Ixora timorensis,Geniostoma rupestre,Cupaniopsis,Guettarda speciosa,Mimusops elengi,Antidesma bunius,Unidentified species 9,Morinda citrifolia,Pandanus sp.,Ixora timorensis,Ixora timorensis,Ixora timorensis,Ixora timorensis,Canarium oleosum,Pittosporum ferrugineum,Timonius sp,cf. Maytenus cupularis,Geniostoma rupestre,Schefflera sp.,Ficus prasinicarpa,Planchonella obovata,Tarenna sambucina,Spathiostemon javensis,Aglaia elaeagnoidea,Cupaniopsis,Allophylus cobbe,Ficus nervosa,Ficus pedunculosa,Bikkia gaudichaudiana,Severinia lauterbachii,Intsia bijuga,Exocarpos latifolius,Guettarda speciosa,Phyllanthus praelongipes,Syzygium nitidum,Unidentified species 2,Unidentified species 3,Unidentified species 4,Geijera sp.,Unidentified species 5,Mimusops elengi,Manilkara sp.,Unidentified species 6,Unidentified species 7,Antidesma bunius,Buchanania arborescens,Calophyllum inophyllum,Unidentified species 8,Podocarpus neriifolius,Lunasia amara,Pemphis acidula,Calophyllum vexans,Gnetum gnemon,Unidentified species 9,Morinda citrifolia,Decaspermum bracteatum,Pandanus sp.
GB13,0,1,0,0,7,4,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
GB12,0,1,6,0,0,1,0,16,0,0,4,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,4,18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
GB6,1,0,0,0,0,1,0,31,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB7,10,4,0,0,4,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,0,0,0,0,3,2,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB9,8,6,0,0,6,1,0,35,0,1,2,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,3,6,2,7,0,0,1,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
GB3,0,3,5,0,17,1,0,2,0,0,1,0,8,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,3,6,1,2,3,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,1,0,0,0,0,0
GB30,0,4,9,0,31,1,0,28,1,0,2,0,0,0,0,0,0,2,0,0,6,7,13,0,0,0,0,0,0,0,1,10,0,4,1,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,39,1,4,0,0,0
GB11,10,2,0,0,6,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
GB8,0,6,4,0,10,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,2,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0
GB10,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB1,0,3,0,0,11,0,0,28,0,0,0,1,0,0,0,0,0,0,0,0,2,0,7,2,0,1,0,0,0,0,5,5,0,3,0,1,0,0,0,2,2,0,0,0,0,0,0,0,4,9,0,0,0,0,0,5,1
GB22,7,1,0,0,0,0,0,59,0,0,0,0,0,0,0,4,0,0,0,0,2,1,0,3,0,0,0,0,0,2,0,3,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
GB23,1,2,0,2,62,1,0,18,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0
GB26,0,1,0,14,53,0,0,0,1,0,4,0,0,3,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,18,0,4,5,4,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,3,0
GB24,3,1,1,0,41,0,0,23,0,0,4,1,0,0,0,0,1,0,0,0,2,3,0,5,0,0,0,0,0,9,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,1
GB59,0,3,0,0,26,3,0,11,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,4,2,0,0,0,0,8,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB27,13,6,0,1,67,0,0,14,0,0,2,0,0,1,0,1,0,0,0,0,7,5,0,11,0,0,0,0,0,27,0,7,2,9,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,3,0,0,0,5,1
GB20,2,1,0,0,24,0,0,30,0,0,5,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0
GB28,2,5,0,1,28,0,1,13,0,0,3,1,0,4,0,0,0,0,0,0,0,2,3,0,3,4,0,0,0,1,9,5,0,5,0,0,3,0,0,0,0,6,0,0,1,2,0,1,2,0,0,1,0,0,0,0,0
GB14,2,0,0,0,12,0,0,2,0,0,1,5,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
GB15,1,1,0,0,10,0,0,16,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB29,1,15,1,1,40,0,0,15,0,0,2,0,0,1,0,0,0,0,0,0,2,6,0,2,1,2,0,0,0,13,2,10,1,0,0,0,0,0,0,0,0,0,11,2,0,1,1,0,1,0,0,2,5,0,0,2,2
GB31,0,14,0,0,66,0,0,28,0,0,1,0,0,0,0,0,0,0,0,0,8,6,0,10,7,0,0,0,0,9,2,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,4,7,6,0,1,0
GB25,0,0,1,0,10,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GB5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GB21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB16,1,3,2,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
