"island_name","Duttaphrynus_melanostictus","Bush_toad","Fejervarya_cancrivora","Fejervarya_sp.","Kaloula_baleata","Limnonectes_doriae","Microhyla_chakrapanii","Ingerana_charlesdarwini"
"Alexandria",1,0,0,0,0,18,0,10
"Boat Island",0,0,0,0,0,0,0,0
"Chester Island",0,0,0,0,0,0,0,0
"Havelock",0,0,0,0,0,1,0,0
"Hobday Island",0,0,0,0,0,0,0,0
"Little Andaman",0,15,0,0,0,7,0,33
"Long Island",0,0,0,0,0,2,0,1
"Neil Island",0,0,0,0,0,1,0,0
"North Andaman",0,1,0,0,0,4,1,3
"Redskin",0,0,0,0,0,1,0,0
"Rutland",0,3,0,0,1,42,0,2
"Snob Island",0,0,0,0,0,0,0,0
"South Andaman",7,4,1,1,0,129,4,3
"Tarmugli",0,0,0,0,0,0,0,6
