island_name,Agonum duftshmidi Shmidt,Agonum lugens (Duftshmid),Amara aulica (Panzer),Amara brunea (Gyllenhal),Amara communis (Panzer),Amara plebeja (Gyllenhal),Amblystomus sp_,Anisodatylus binotatus (Fabricius),Badister bullatus (Schrank),Badister dorsiger (Duftshmid),Badister sodalis (Duftschmid),Badister unipustulatus Bonelli,Bembidion articulatum (Panzer),Bembidion doris (Panzer),Bembidion sp,Carabus granulatus,Calathus fuscipes (Goeze),Calathus melanocephalus (Linnaeus),Calathus micropterus (Duftschmid),Calathus mollis (Marsham),Carabus cancelatus Illiger,Carabus hortensis Linnaeus,Carabus nemoralis Muller,Chlaenius nigricornis (Fabricius),Clivina collaris (Herbst),Clivina fossor (Linnaeus),Dischirius globosus (Herbst),Epaphius secalis (Paykull),Harpalus 4-punctatus Dejean,Harpalus froelichi Sturm,Harpalus latus (Linnaeus),Harpalus rufipalpis Sturm,Harpalus solitaris Dejean,Harpalus xanthopus winkleri Schauberger,Lasoitrechus discus (Fabricius),Leistus ferrugineus (Linnaeus),Leistus rufomarginatus (Duftshmid),Leistus terminatus (Hellwig),Loricera pilicornis (Fabricius),Nebria brevicolis (Fabricius),Notiophilus biguttatus (Fabricius),Notiophilus palustris (Duftshmid),Oodes gracilis A_Villa & G_B_Villa,Oodes helopioides (Fabricius),Oxypselaphus obscurus (Herbst),Panagaeus cruxmajor (Linnaeus),Paranchus albipes (Fabricius),Patrobus atrorufus (Stroem),Phonus sp_,Platynus assimilis (Paykull),Poecilus cupreus (Linnaeus),Poecilus versicolor (Sturm),Pseudoophonus rufipes (De Geer),Pseudoophonus calceatus (Duftshmid),Pterostichus antracinus,Pterostichus aterrimus (Herbst),Pterostichus diligens (Sturm),Pterostichus gracilis Dejean),Pterostichus longicollis (Duftshmid),Pterostichus minor (Gyllenhal),Pterostichus niger (Schaller),Pterostichus nigrita (Paykull),Pterostichus oblongopunctatus (Fabricius),Pterostichus strennus (Panzer),Pterostichus vernalis (Panzer),Pterostichus melanarius,Stenolophus mixtus,Stomis pumicatus (Panzer),Synuchus vivalis (Illiger),Trechus sp_,Dischirius sp (brachypterous)
1pog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,11,NA,NA,NA,NA,5,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
2pog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,7,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3pog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,75,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,NA,83,NA,NA,187,NA,NA,NA,NA,NA
gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
guc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169,NA,NA,NA,NA,NA
kor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,NA,1019,NA,NA,1199,NA,NA,NA,NA,NA
lip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,24,NA,704,NA,NA,NA,NA,NA
mil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,3,NA,274,NA,NA,NA,NA,NA,NA,39,NA,22,NA,394,NA,NA,NA,NA,NA
sos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
