Dataset_ID,N_islands,island_type,Taxa,long,lat,"lat,long"
Andrade_2002,12,Forest island,Birds,-46.630558,-20.338653,"-20.338653,-46.630558"
As_1984,10,True island,Beetles,19.03037,59.64384,"59.64384,19.03037"
Barun_2010,6,True island,Herpetofauna,16.887354,42.920636,"42.920636,16.887354"
Bell_2017,30,Lake island,Beetles,-104.939973,55.353785,"55.353785,-104.939973"
Borges_2016,7,True island,Beetles,-30.647224,39.260818,"39.260818,-30.647224"
Burbrink_2015,54,Barrier island,Herpetofauna,-79.38,34.06,"34.06,-79.38"
Choi_2011,17,True island,Invertebrates,126.227365,34.610584,"34.610584,126.227365"
Dasilva_2019,14,Forest island,Invertebrates,-43.53,-19.23,"-19.23,-43.53"
Davidar_2001,38,True island,Birds,92.84,12.43,"12.43,92.84"
Devy_1998,11,True island,Invertebrates,92.62,11.54,"11.54,92.62"
Dueser_1979,10,Barrier island,Mammals,-75.695199,37.417557,"37.417557,-75.695199"
Evans_2016,31,Atoll,Birds,59.678393,-16.625217,"-16.625217,59.678393"
Hatteland_2008,14,True island,Beetles,4.887185,60.548068,"60.548068,4.887185"
Jonsson_2009,30,Lake island,Birds,17.442737,59.426467,"59.426467,17.442737"
Karger_2014,17,True island,Plants,127.401311,0.709545,"0.709545,127.401311"
Kotze_2000,24,True island,Beetles,21.606425,59.979928,"59.979928,21.606425"
Macdonald_2017,30,Lake island,Invertebrates,-94.217227,49.146725,"49.146725,-94.217227"
Pereira_2017,11,Forest island,Invertebrates,-43.783006,-17.69233,"-17.69233,-43.783006"
Perillo_2017,14,Forest island,Invertebrates,-43.716492,-17.714816,"-17.714816,-43.716492"
Pierce_2003,11,True island,Birds,-145.336978,-19.107863,"-19.107863,-145.336978"
Puspitasari_2016,10,True island,Beetles,106.575904,-5.606655,"-5.606655,106.575904"
Rangasamy_2014_frogs,19,True island,Herpetofauna,92.629702,11.679609,"11.679609,92.629702"
Rangasamy_2014_lizards,19,True island,Herpetofauna,93.750018,7.078051,"7.078051,93.750018"
Rocamora_2003,17,Atoll,Birds,55.514909,-4.676737,"-4.676737,55.514909"
Schilthuizen_2013,13,True island,Invertebrates,116.113267,6.08781,"6.08781,116.113267"
Schrader_2019,40,True island,Plants,130.57,-0.516,"-0.516,130.57"
Surendran_Vasudevan_2015_frogs,14,True island,Herpetofauna,92.73,11.84,"11.84,92.73"
Surendran_Vasudevan_2015_lizards,14,True island,Herpetofauna,92.7,11.8,"11.8,92.7"
Theuerkauf_2017,3,True island,Birds,165.511381,-21.272649,"-21.272649,165.511381"
Usher_1986,7,True island,Invertebrates,-58.933354,-62.212325,"-62.212325,-58.933354"
Waqa-Sakiti_2018,10,True island,Beetles,177.978066,-17.813389,"-17.813389,177.978066"
Werden_2012,12,True island,Mammals,-76.193262,44.296629,"44.296629,-76.193262"
Werner_Zalewski_2006,15,Lake island,Beetles,21.693612,54.174893,"54.174893,21.693612"
Xu_2017,42,True island,Invertebrates,122.246952,30.284231,"30.284231,122.246952"
Zagar_2013,11,True island,Herpetofauna,16.889492,42.94769,"42.94769,16.889492"
