study_ID,Study,island_code,island_name,island_area_ha,elevation_m,Taxa,Type of island,dataset_coord_lat_long,island_coord
Andrade_2002,Andrade_2002_data,frag_1,,0.09,,Birds,,"-20.338653, -46.630558",
Andrade_2002,Andrade_2002_data,frag_4,,0.16,,Birds,,"-20.338653, -46.630558",
Andrade_2002,Andrade_2002_data,frag_2,,0.17,,Birds,,"-20.338653, -46.630558",
Andrade_2002,Andrade_2002_data,frag_3,,0.27,,Birds,,"-20.338653, -46.630558",
Andrade_2002,Andrade_2002_data,frag_10,,0.36,,Birds,,"-20.338653, -46.630558",
Andrade_2002,Andrade_2002_data,frag_5,,0.41,,Birds,,"-20.338653, -46.630558",
Andrade_2002,Andrade_2002_data,frag_14,,0.53,,Birds,,"-20.338653, -46.630558",
Andrade_2002,Andrade_2002_data,frag_6_7_8,,0.55,,Birds,,"-20.338653, -46.630558",
Andrade_2002,Andrade_2002_data,frag_9,,0.6,,Birds,,"-20.338653, -46.630558",
Andrade_2002,Andrade_2002_data,frag_13,,0.76,,Birds,,"-20.338653, -46.630558",
Andrade_2002,Andrade_2002_data,frag_12,,1.01,,Birds,,"-20.338653, -46.630558",
Andrade_2002,Andrade_2002_data,frag_11,,1.02,,Birds,,"-20.338653, -46.630558",
As_1984,As_1984_data,OK,,0.5,,Beetles,,"59.64384,19.03037",
As_1984,As_1984_data,D,,2.1,,Beetles,,"59.64384,19.03037",
As_1984,As_1984_data,T,,2.3,,Beetles,,"59.64384,19.03037",
As_1984,As_1984_data,G,,2.7,,Beetles,,"59.64384,19.03037",
As_1984,As_1984_data,H,,3.1,,Beetles,,"59.64384,19.03037",
As_1984,As_1984_data,V,,18,,Beetles,,"59.64384,19.03037",
As_1984,As_1984_data,A,,38,,Beetles,,"59.64384,19.03037",
As_1984,As_1984_data,S,,53,,Beetles,,"59.64384,19.03037",
As_1984,As_1984_data,R,,81,,Beetles,,"59.64384,19.03037",
As_1984,As_1984_data,N,,160,,Beetles,,"59.64384,19.03037",
Barun_2010,Barun_2010_data,Brac,,5300,,"Reptiles, snakes, turtles and amphibians",,"43.323437, 16.642190",
Barun_2010,Barun_2010_data,Mljet,,10000,,"Reptiles, snakes, turtles and amphibians",,"42.760984, 17.513785",
Barun_2010,Barun_2010_data,Dugi Otok,,11400,,"Reptiles, snakes, turtles and amphibians",,"43.992647, 15.091194",
Barun_2010,Barun_2010_data,Korcula,,27000,,"Reptiles, snakes, turtles and amphibians",,"42.948699, 16.888885",
Barun_2010,Barun_2010_data,Hvar,,29900,,"Reptiles, snakes, turtles and amphibians",,"43.190562, 16.656577",
Barun_2010,Barun_2010_data,Lastovo,,39400,,"Reptiles, snakes, turtles and amphibians",,"42.754356, 16.875812",
Bell_2017,Bell_2017_data,EW,,0.2,,Beetles,,"55.083247, -104.898828",
Bell_2017,Bell_2017_data,FI,,0.3,,Beetles,,"55.083247, -104.898828",
Bell_2017,Bell_2017_data,HB,,0.5,,Beetles,,"55.083247, -104.898828",
Bell_2017,Bell_2017_data,LG,,0.6,,Beetles,,"55.083247, -104.898828",
