study_ID,Study,island_code,island_name,number_of_islands,n_island_cat,island_area_ha,island_area_source,elevation_m_asl,elevation_source,elevation_category,Taxa,island_type,DEM_elevation_max,DEM_elevation_min,island_lat,island_lon,island_type2,fixed_proportional,dataset_coord_lat,dataset_coord_long,sampling_effort,sampling_effort_unit,sampling_method,sampling_method_dimensions,sampling_notes,sampling_time_frame,no_hours_sampled
Andrade_2002,Andrade_2002_data,frag_1,NA,12,10 to 15,0.09,Andrade_2002,NA,NA,NA,Birds,Forest Island,NA,NA,NA,NA,forest island,fixed,NA,NA,302,mist net hour,mist net,12 m long and 2.5 m high,300 mist nets per hour per forest patch,July 1997 to November 1998,11
Andrade_2002,Andrade_2002_data,frag_10,NA,12,10 to 15,0.36,Andrade_2002,NA,NA,NA,Birds,Forest Island,NA,NA,NA,NA,forest island,fixed,NA,NA,366,mist net hour,mist net,12 m long and 2.5 m high,300 mist nets per hour per forest patch,July 1997 to November 1998,11
Andrade_2002,Andrade_2002_data,frag_11,NA,12,10 to 15,1.02,Andrade_2002,NA,NA,NA,Birds,Forest Island,NA,NA,NA,NA,forest island,fixed,NA,NA,319,mist net hour,mist net,12 m long and 2.5 m high,300 mist nets per hour per forest patch,July 1997 to November 1998,11
Andrade_2002,Andrade_2002_data,frag_12,NA,12,10 to 15,1.01,Andrade_2002,NA,NA,NA,Birds,Forest Island,NA,NA,NA,NA,forest island,fixed,NA,NA,306,mist net hour,mist net,12 m long and 2.5 m high,300 mist nets per hour per forest patch,July 1997 to November 1998,11
Andrade_2002,Andrade_2002_data,frag_13,NA,12,10 to 15,0.76,Andrade_2002,NA,NA,NA,Birds,Forest Island,NA,NA,NA,NA,forest island,fixed,NA,NA,357,mist net hour,mist net,12 m long and 2.5 m high,300 mist nets per hour per forest patch,July 1997 to November 1998,11
Andrade_2002,Andrade_2002_data,frag_14,NA,12,10 to 15,0.53,Andrade_2002,NA,NA,NA,Birds,Forest Island,NA,NA,NA,NA,forest island,fixed,NA,NA,378,mist net hour,mist net,12 m long and 2.5 m high,300 mist nets per hour per forest patch,July 1997 to November 1998,11
Andrade_2002,Andrade_2002_data,frag_2,NA,12,10 to 15,0.17,Andrade_2002,NA,NA,NA,Birds,Forest Island,NA,NA,NA,NA,forest island,fixed,NA,NA,319,mist net hour,mist net,12 m long and 2.5 m high,300 mist nets per hour per forest patch,July 1997 to November 1998,11
Andrade_2002,Andrade_2002_data,frag_3,NA,12,10 to 15,0.27,Andrade_2002,NA,NA,NA,Birds,Forest Island,NA,NA,NA,NA,forest island,fixed,NA,NA,327,mist net hour,mist net,12 m long and 2.5 m high,300 mist nets per hour per forest patch,July 1997 to November 1998,11
Andrade_2002,Andrade_2002_data,frag_4,NA,12,10 to 15,0.16,Andrade_2002,NA,NA,NA,Birds,Forest Island,NA,NA,NA,NA,forest island,fixed,NA,NA,318,mist net hour,mist net,12 m long and 2.5 m high,300 mist nets per hour per forest patch,July 1997 to November 1998,11
Andrade_2002,Andrade_2002_data,frag_5,NA,12,10 to 15,0.41,Andrade_2002,NA,NA,NA,Birds,Forest Island,NA,NA,NA,NA,forest island,fixed,NA,NA,300,mist net hour,mist net,12 m long and 2.5 m high,300 mist nets per hour per forest patch,July 1997 to November 1998,11
Andrade_2002,Andrade_2002_data,frag_6_7_8,NA,12,10 to 15,0.55,Andrade_2002,NA,NA,NA,Birds,Forest Island,NA,NA,NA,NA,forest island,fixed,NA,NA,332,mist net hour,mist net,12 m long and 2.5 m high,300 mist nets per hour per forest patch,July 1997 to November 1998,11
Andrade_2002,Andrade_2002_data,frag_9,NA,12,10 to 15,0.6,Andrade_2002,NA,NA,NA,Birds,Forest Island,NA,NA,NA,NA,forest island,fixed,NA,NA,322,mist net hour,mist net,12 m long and 2.5 m high,300 mist nets per hour per forest patch,July 1997 to November 1998,11
As_1984,As_1984_data,A,Angstar,10,10 to 15,38,As_1984,19,Google Earth,maximum elevation,Beetles,True Island,11,1,59.541728,19.267993,continental,not_standardized,59.5560966,19.2426625,45,trap,pitfall trap,plastic jars with 65 mm opening and a total volume of 170 ml,"3 x 3 trap square, 5 m distance between traps. Number of trap squares varied with island size.",18-June-1980 to 16-July-1980,NA
As_1984,As_1984_data,D,Danmarsor,10,10 to 15,2.1,As_1984,5,Google Earth,maximum elevation,Beetles,True Island,24,1,59.637027,19.009592,continental,not_standardized,59.5560966,19.2426625,18,trap,pitfall trap,plastic jars with 65 mm opening and a total volume of 170 ml,"3 x 3 trap square, 5 m distance between traps. Number of trap squares varied with island size.",18-June-1980 to 16-July-1980,NA
As_1984,As_1984_data,G,Golpan,10,10 to 15,2.7,As_1984,NA,NA,NA,Beetles,True Island,20,1,59.532553,19.274768,continental,not_standardized,59.5560966,19.2426625,18,trap,pitfall trap,plastic jars with 65 mm opening and a total volume of 170 ml,"3 x 3 trap square, 5 m distance between traps. Number of trap squares varied with island size.",18-June-1980 to 16-July-1980,NA
As_1984,As_1984_data,H,Hjortronskar,10,10 to 15,3.1,As_1984,NA,NA,NA,Beetles,True Island,9,1,59.510029,19.357143,continental,not_standardized,59.5560966,19.2426625,18,trap,pitfall trap,plastic jars with 65 mm opening and a total volume of 170 ml,"3 x 3 trap square, 5 m distance between traps. Number of trap squares varied with island size.",18-June-1980 to 16-July-1980,NA
As_1984,As_1984_data,N,Norrora,10,10 to 15,160,As_1984,17,Google Earth,maximum elevation,Beetles,True Island,24,1,59.640176,19.051762,continental,not_standardized,59.5560966,19.2426625,45,trap,pitfall trap,plastic jars with 65 mm opening and a total volume of 170 ml,"3 x 3 trap square, 5 m distance between traps. Number of trap squares varied with island size.",18-June-1980 to 16-July-1980,NA
As_1984,As_1984_data,OK,Ötterkobben,10,10 to 15,0.5,As_1984,NA,NA,NA,Beetles,True Island,20,1,59.534928,19.281819,continental,not_standardized,59.5560966,19.2426625,9,trap,pitfall trap,plastic jars with 65 mm opening and a total volume of 170 ml,"3 x 3 trap square, 5 m distance between traps. Number of trap squares varied with island size.",18-June-1980 to 16-July-1980,NA
As_1984,As_1984_data,R,Rodloga,10,10 to 15,81,As_1984,14,Google Earth,maximum elevation,Beetles,True Island,19,1,59.593591,19.160828,continental,not_standardized,59.5560966,19.2426625,45,trap,pitfall trap,plastic jars with 65 mm opening and a total volume of 170 ml,"3 x 3 trap square, 5 m distance between traps. Number of trap squares varied with island size.",18-June-1980 to 16-July-1980,NA
As_1984,As_1984_data,S,Svenska Hogarna,10,10 to 15,53,As_1984,13,Google Earth,maximum elevation,Beetles,True Island,17,1,59.443578,19.493694,continental,not_standardized,59.5560966,19.2426625,36,trap,pitfall trap,plastic jars with 65 mm opening and a total volume of 170 ml,"3 x 3 trap square, 5 m distance between traps. Number of trap squares varied with island size.",18-June-1980 to 16-July-1980,NA
As_1984,As_1984_data,T,Stora Norrstenen,10,10 to 15,2.3,As_1984,5,Google Earth,maximum elevation,Beetles,True Island,19,1,59.607365,19.172652,continental,not_standardized,59.5560966,19.2426625,18,trap,pitfall trap,plastic jars with 65 mm opening and a total volume of 170 ml,"3 x 3 trap square, 5 m distance between traps. Number of trap squares varied with island size.",18-June-1980 to 16-July-1980,NA
As_1984,As_1984_data,V,Vanskar,10,10 to 15,18,As_1984,8,Google Earth,maximum elevation,Beetles,True Island,9,1,59.519991,19.356374,continental,not_standardized,59.5560966,19.2426625,45,trap,pitfall trap,plastic jars with 65 mm opening and a total volume of 170 ml,"3 x 3 trap square, 5 m distance between traps. Number of trap squares varied with island size.",18-June-1980 to 16-July-1980,NA
Barun_2010,Barun_2010_data,Brac,Brac,6,3 to 9,5300,Barun_2010,NA,NA,NA,Herpetofauna,True Island,782,1,43.323437,16.64219,continental,fixed,43.16178083,16.61140717,30,trap,multiple,NA,"4 types of surveys: distance-constrained surveys, visual encounter surveys, special
searches and incidental trapping",April to May 2008,NA
Barun_2010,Barun_2010_data,Dugi Otok,Dugi Otok,6,3 to 9,11400,Barun_2010,NA,NA,NA,Herpetofauna,True Island,56,1,43.992647,15.091194,continental,fixed,43.16178083,16.61140717,30,trap,multiple,NA,"4 types of surveys: distance-constrained surveys, visual encounter surveys, special
searches and incidental trapping",April to May 2008,NA
Barun_2010,Barun_2010_data,Hvar,Hvar,6,3 to 9,29900,Barun_2010,NA,NA,NA,Herpetofauna,True Island,607,1,43.190562,16.656577,continental,fixed,43.16178083,16.61140717,30,trap,multiple,NA,"4 types of surveys: distance-constrained surveys, visual encounter surveys, special
searches and incidental trapping",April to May 2008,NA
Barun_2010,Barun_2010_data,Korcula,Korcula,6,3 to 9,27000,Barun_2010,NA,NA,NA,Herpetofauna,True Island,558,1,42.948699,16.888885,continental,fixed,43.16178083,16.61140717,30,trap,multiple,NA,"4 types of surveys: distance-constrained surveys, visual encounter surveys, special
searches and incidental trapping",April to May 2008,NA
Barun_2010,Barun_2010_data,Lastovo,Lastovo,6,3 to 9,39400,Barun_2010,NA,NA,NA,Herpetofauna,True Island,405,1,42.754356,16.875812,continental,fixed,43.16178083,16.61140717,30,trap,multiple,NA,"4 types of surveys: distance-constrained surveys, visual encounter surveys, special
searches and incidental trapping",April to May 2008,NA
Barun_2010,Barun_2010_data,Mljet,Mljet,6,3 to 9,10000,Barun_2010,NA,NA,NA,Herpetofauna,True Island,494,1,42.760984,17.513785,continental,fixed,43.16178083,16.61140717,30,trap,multiple,NA,"4 types of surveys: distance-constrained surveys, visual encounter surveys, special
searches and incidental trapping",April to May 2008,NA
Bell_2017,Bell_2017_data,AL,NA,30,16 to 30,0.7,Bell_2017,358,Google Earth,maximum elevation,Beetles,Lake Island,546,358,55.192956,-105.05577,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,BI,NA,30,16 to 30,980.7,Bell_2017,394,Google Earth,maximum elevation,Beetles,Lake Island,546,358,55.122186,-105.025311,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,BR,NA,30,16 to 30,255.1,Bell_2017,384,Google Earth,maximum elevation,Beetles,Lake Island,546,358,55.129553,-105.072007,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,CC,NA,30,16 to 30,21.1,Bell_2017,383,Google Earth,maximum elevation,Beetles,Lake Island,546,358,55.146967,-105.170144,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,CD,NA,30,16 to 30,3.2,Bell_2017,370,Google Earth,maximum elevation,Beetles,Lake Island,546,358,55.174306,-105.037334,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,CI,NA,30,16 to 30,1.2,Bell_2017,358,Google Earth,maximum elevation,Beetles,Lake Island,534,328,55.168493,-104.962795,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,CU,NA,30,16 to 30,1.5,Bell_2017,358,Google Earth,maximum elevation,Beetles,Lake Island,534,328,55.077522,-104.936614,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,DG,NA,30,16 to 30,10.3,Bell_2017,358,Google Earth,maximum elevation,Beetles,Lake Island,546,358,55.102476,-105.258638,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,EW,NA,30,16 to 30,0.2,Bell_2017,NA,NA,NA,Beetles,Lake Island,546,358,55.141667,-105.124381,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,FI,NA,30,16 to 30,0.3,Bell_2017,358,Google Earth,maximum elevation,Beetles,Lake Island,546,358,55.079915,-105.149625,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
Bell_2017,Bell_2017_data,FU,NA,30,16 to 30,2.6,Bell_2017,358,Google Earth,maximum elevation,Beetles,Lake Island,546,358,55.098953,-105.233235,lake island,fixed,55.13379957,-105.0467934,8,trap,pitfall trap,11.2 cm in diameter,"Traps were positioned along a 120 m transect with the first trap located at 7.5 m, and 15 m between subsequent traps",02-June-2013 to 23-August-2013,NA
