ISL_ID,study_ID,Study,island_code,island_name,island_area_ha,island_area_source,elevation_m_asl,elevation_source,elevation_category,DEM_elevation_max,DEM_elevation_min,DEM_latitude,DEM_longitude,Taxa,Type_of_island,dataset_coord_lat_long,island_coord,island_coord_richtext,island_lat,island_lon,coordinate checking,sampling_effort,sampling_effort_unit,,
1,Andrade_2002,Andrade_2002_data,frag_1,,0.09,,NA,,,#N/A,#N/A,#N/A,#N/A,Birds,forest island,"-20.338653, -46.630558",NA,,NA,NA,#N/A,302,mist net hour,,
2,Andrade_2002,Andrade_2002_data,frag_10,,0.36,,NA,,,#N/A,#N/A,#N/A,#N/A,Birds,forest island,"-20.338653, -46.630558",NA,,NA,NA,#N/A,366,mist net hour,,
3,Andrade_2002,Andrade_2002_data,frag_11,,1.02,,NA,,,#N/A,#N/A,#N/A,#N/A,Birds,forest island,"-20.338653, -46.630558",NA,,NA,NA,#N/A,319,mist net hour,,
4,Andrade_2002,Andrade_2002_data,frag_12,,1.01,,NA,,,#N/A,#N/A,#N/A,#N/A,Birds,forest island,"-20.338653, -46.630558",NA,,NA,NA,#N/A,306,mist net hour,,
5,Andrade_2002,Andrade_2002_data,frag_13,,0.76,,NA,,,#N/A,#N/A,#N/A,#N/A,Birds,forest island,"-20.338653, -46.630558",NA,,NA,NA,#N/A,357,mist net hour,,
6,Andrade_2002,Andrade_2002_data,frag_14,,0.53,,NA,,,#N/A,#N/A,#N/A,#N/A,Birds,forest island,"-20.338653, -46.630558",NA,,NA,NA,#N/A,378,mist net hour,,
7,Andrade_2002,Andrade_2002_data,frag_2,,0.17,,NA,,,#N/A,#N/A,#N/A,#N/A,Birds,forest island,"-20.338653, -46.630558",NA,,NA,NA,#N/A,319,mist net hour,,
8,Andrade_2002,Andrade_2002_data,frag_3,,0.27,,NA,,,#N/A,#N/A,#N/A,#N/A,Birds,forest island,"-20.338653, -46.630558",NA,,NA,NA,#N/A,327,mist net hour,,
9,Andrade_2002,Andrade_2002_data,frag_4,,0.16,,NA,,,#N/A,#N/A,#N/A,#N/A,Birds,forest island,"-20.338653, -46.630558",NA,,NA,NA,#N/A,318,mist net hour,,
10,Andrade_2002,Andrade_2002_data,frag_5,,0.41,,NA,,,#N/A,#N/A,#N/A,#N/A,Birds,forest island,"-20.338653, -46.630558",NA,,NA,NA,#N/A,300,mist net hour,,
11,Andrade_2002,Andrade_2002_data,frag_6_7_8,,0.55,,NA,,,#N/A,#N/A,#N/A,#N/A,Birds,forest island,"-20.338653, -46.630558",NA,,NA,NA,#N/A,332,mist net hour,,
12,Andrade_2002,Andrade_2002_data,frag_9,,0.60,,NA,,,#N/A,#N/A,#N/A,#N/A,Birds,forest island,"-20.338653, -46.630558",NA,,NA,NA,#N/A,322,mist net hour,,
13,As_1984,As_1984_data,Ä,Angstar ,38.00,,19,Google Earth,maximum elevation,11,1,59.541728,19.267993,Beetles,real island,"59.64384,19.03037","59.541728N, 19.267993E","59.541728N, 19.267993E",59.541728,19.267993,FALSE,1305,trap day,,
14,As_1984,As_1984_data,D,Danmarsor ,2.10,,5,Google Earth,maximum elevation,24,1,59.637027,19.009592,Beetles,real island,"59.64384,19.03037","59.637027N, 19.009592E","59.637027N, 19.009592E",59.637027,19.009592,TRUE,522,trap day,,
15,As_1984,As_1984_data,G,Golpan ,2.70,,NA,Google Earth,maximum elevation,20,1,59.532553,19.274768,Beetles,real island,"59.64384,19.03037","59.532553N, 19.274768E","59.532553N, 19.274768E",59.532553,19.274768,TRUE,522,trap day,,
16,As_1984,As_1984_data,H,Hjortronskar ,3.10,,NA,Google Earth,maximum elevation,9,1,59.510029,19.357143,Beetles,real island,"59.64384,19.03037","59.510029N, 19.357143E","59.510029N, 19.357143E",59.510029,19.357143,TRUE,522,trap day,,
17,As_1984,As_1984_data,N,Norrora ,160.00,,17,Google Earth,maximum elevation,24,1,59.640176,19.051762,Beetles,real island,"59.64384,19.03037","59.640176N, 19.051762E","59.640176N, 19051762E",59.640176,19.051762,FALSE,1305,trap day,,
18,As_1984,As_1984_data,ÖK,Ötterkobben ,0.50,,NA,Google Earth,maximum elevation,20,1,59.534928,19.281819,Beetles,real island,"59.64384,19.03037","59.534928N, 19.281819E","59.534928N, 19.281819E",59.534928,19.281819,FALSE,261,trap day,,
19,As_1984,As_1984_data,R,Rodloga ,81.00,,14,Google Earth,maximum elevation,19,1,59.593591,19.160828,Beetles,real island,"59.64384,19.03037","59.593591N, 19.160828E","59.593591N, 19.160828E",59.593591,19.160828,FALSE,1305,trap day,,
20,As_1984,As_1984_data,S,Svenska Hogarna ,53.00,,13,Google Earth,maximum elevation,17,1,59.443578,19.493694,Beetles,real island,"59.64384,19.03037","59.443578N, 19.493694E","59.443578N, 19.493694E",59.443578,19.493694,TRUE,1044,trap day,,
21,As_1984,As_1984_data,T,Stora Norrstenen ,2.30,,5,Google Earth,maximum elevation,19,1,59.607365,19.172652,Beetles,real island,"59.64384,19.03037","59.607365N, 19.172652E","59.607365N, 19.172652E",59.607365,19.172652,FALSE,522,trap day,,
22,As_1984,As_1984_data,V,Vanskar ,18.00,,8,Google Earth,maximum elevation,9,1,59.519991,19.356374,Beetles,real island,"59.64384,19.03037","59.519991N, 19.356374E","59.519991N, 19.356374E",59.519991,19.356374,FALSE,1305,trap day,,
23,Barun_2010,Barun_2010_data,Brac,Brač,5300.00,,NA,,,782,1,43.323437,16.64219,"Reptiles, snakes, turtles and amphibians",real island,,"43.323437, 16.642190","43.323437, 16.642190",43.323437,16.64219,FALSE,1,balanced,,
