study_ID,Study,island_code,number_of_islands,n_island_cat,island_name,island_area_ha,island_area_source,elevation_m_asl,elevation_source,elevation_category,Taxa,Type_of_island,island_type,dataset_coord_lat_long,island_coord,island_coord_richtext,island_lat,island_lon,sampling_effort,sampling_effort_unit
Andrade_2002,Andrade_2002_data,frag_1,12,10 to 15,,0.09,,NA,,,Birds,forest island,forest island,"-20.338653, -46.630558",NA,,NA,NA,302,mist net hour
Andrade_2002,Andrade_2002_data,frag_10,12,10 to 15,,0.36,,NA,,,Birds,forest island,forest island,"-20.338653, -46.630558",NA,,NA,NA,366,mist net hour
Andrade_2002,Andrade_2002_data,frag_11,12,10 to 15,,1.02,,NA,,,Birds,forest island,forest island,"-20.338653, -46.630558",NA,,NA,NA,319,mist net hour
Andrade_2002,Andrade_2002_data,frag_12,12,10 to 15,,1.01,,NA,,,Birds,forest island,forest island,"-20.338653, -46.630558",NA,,NA,NA,306,mist net hour
Andrade_2002,Andrade_2002_data,frag_13,12,10 to 15,,0.76,,NA,,,Birds,forest island,forest island,"-20.338653, -46.630558",NA,,NA,NA,357,mist net hour
Andrade_2002,Andrade_2002_data,frag_14,12,10 to 15,,0.53,,NA,,,Birds,forest island,forest island,"-20.338653, -46.630558",NA,,NA,NA,378,mist net hour
Andrade_2002,Andrade_2002_data,frag_2,12,10 to 15,,0.17,,NA,,,Birds,forest island,forest island,"-20.338653, -46.630558",NA,,NA,NA,319,mist net hour
Andrade_2002,Andrade_2002_data,frag_3,12,10 to 15,,0.27,,NA,,,Birds,forest island,forest island,"-20.338653, -46.630558",NA,,NA,NA,327,mist net hour
Andrade_2002,Andrade_2002_data,frag_4,12,10 to 15,,0.16,,NA,,,Birds,forest island,forest island,"-20.338653, -46.630558",NA,,NA,NA,318,mist net hour
Andrade_2002,Andrade_2002_data,frag_5,12,10 to 15,,0.41,,NA,,,Birds,forest island,forest island,"-20.338653, -46.630558",NA,,NA,NA,300,mist net hour
Andrade_2002,Andrade_2002_data,frag_6_7_8,12,10 to 15,,0.55,,NA,,,Birds,forest island,forest island,"-20.338653, -46.630558",NA,,NA,NA,332,mist net hour
Andrade_2002,Andrade_2002_data,frag_9,12,10 to 15,,0.60,,NA,,,Birds,forest island,forest island,"-20.338653, -46.630558",NA,,NA,NA,322,mist net hour
As_1984,As_1984_data,A,10,10 to 15,Angstar ,38.00,,19,Google Earth,maximum elevation,Beetles,True island,True island,"59.64384,19.03037","59.541728N, 19.267993E","59.541728N, 19.267993E",59.541728,19.267993,1305,trap day
As_1984,As_1984_data,D,10,10 to 15,Danmarsor ,2.10,,5,Google Earth,maximum elevation,Beetles,True island,True island,"59.64384,19.03037","59.637027N, 19.009592E","59.637027N, 19.009592E",59.637027,19.009592,522,trap day
As_1984,As_1984_data,G,10,10 to 15,Golpan ,2.70,,NA,Google Earth,maximum elevation,Beetles,True island,True island,"59.64384,19.03037","59.532553N, 19.274768E","59.532553N, 19.274768E",59.532553,19.274768,522,trap day
As_1984,As_1984_data,H,10,10 to 15,Hjortronskar ,3.10,,NA,Google Earth,maximum elevation,Beetles,True island,True island,"59.64384,19.03037","59.510029N, 19.357143E","59.510029N, 19.357143E",59.510029,19.357143,522,trap day
As_1984,As_1984_data,N,10,10 to 15,Norrora ,160.00,,17,Google Earth,maximum elevation,Beetles,True island,True island,"59.64384,19.03037","59.640176N, 19.051762E","59.640176N, 19051762E",59.640176,19.051762,1305,trap day
As_1984,As_1984_data,OK,10,10 to 15,Ötterkobben ,0.50,,NA,Google Earth,maximum elevation,Beetles,True island,True island,"59.64384,19.03037","59.534928N, 19.281819E","59.534928N, 19.281819E",59.534928,19.281819,261,trap day
As_1984,As_1984_data,R,10,10 to 15,Rodloga ,81.00,,14,Google Earth,maximum elevation,Beetles,True island,True island,"59.64384,19.03037","59.593591N, 19.160828E","59.593591N, 19.160828E",59.593591,19.160828,1305,trap day
As_1984,As_1984_data,S,10,10 to 15,Svenska Hogarna ,53.00,,13,Google Earth,maximum elevation,Beetles,True island,True island,"59.64384,19.03037","59.443578N, 19.493694E","59.443578N, 19.493694E",59.443578,19.493694,1044,trap day
As_1984,As_1984_data,T,10,10 to 15,Stora Norrstenen ,2.30,,5,Google Earth,maximum elevation,Beetles,True island,True island,"59.64384,19.03037","59.607365N, 19.172652E","59.607365N, 19.172652E",59.607365,19.172652,522,trap day
As_1984,As_1984_data,V,10,10 to 15,Vanskar ,18.00,,8,Google Earth,maximum elevation,Beetles,True island,True island,"59.64384,19.03037","59.519991N, 19.356374E","59.519991N, 19.356374E",59.519991,19.356374,1305,trap day
Barun_2010,Barun_2010_data,Brac,6,3 to 9,Brač,5300.00,,NA,,,Herpetofauna,True island,True island,,"43.323437, 16.642190","43.323437, 16.642190",43.323437,16.64219,1,balanced
Barun_2010,Barun_2010_data,Dugi Otok,6,3 to 9,Dugi Otok,11400.00,,NA,,,Herpetofauna,True island,True island,,"43.992647, 15.091194","43.992647, 15.091194",43.992647,15.091194,1,balanced
Barun_2010,Barun_2010_data,Hvar,6,3 to 9,Hvar,29900.00,,NA,,,Herpetofauna,True island,True island,,"43.190562, 16.656577","43.190562, 16.656577",43.190562,16.656577,1,balanced
Barun_2010,Barun_2010_data,Korcula,6,3 to 9,Korčula,27000.00,,NA,,,Herpetofauna,True island,True island,,"42.948699, 16.888885","42.948699, 16.888885",42.948699,16.888885,1,balanced
Barun_2010,Barun_2010_data,Lastovo,6,3 to 9,Lastovo,39400.00,,NA,,,Herpetofauna,True island,True island,,"42.754356, 16.875812","42.754356, 16.875812",42.754356,16.875812,1,balanced
Barun_2010,Barun_2010_data,Mljet,6,3 to 9,Mljet,10000.00,,NA,,,Herpetofauna,True island,True island,,"42.760984, 17.513785","42.760984, 17.513785",42.760984,17.513785,1,balanced
Bell_2017,Bell_2017_data,AL,30,15 to 30,,0.70,,358,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.192956n, 105.055770w","55.192956n, 105.055770w",55.192956,-105.05577,1,balanced
Bell_2017,Bell_2017_data,BI,30,15 to 30,,980.70,,394,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.122186N, 105.025311w","55.122186N, 105.025311w",55.122186,-105.025311,1,balanced
Bell_2017,Bell_2017_data,BR,30,15 to 30,,255.10,,384,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.129553N, 105.072007W","55.129553N, 105.072007W",55.129553,-105.072007,1,balanced
Bell_2017,Bell_2017_data,CC,30,15 to 30,,21.10,,383,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.146967N,105.170144W","55.146967N,105.170144W",55.146967,-105.170144,1,balanced
Bell_2017,Bell_2017_data,CD,30,15 to 30,,3.20,,370,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.174306n,105.037334w","55.174306n,105.037334w",55.174306,-105.037334,1,balanced
Bell_2017,Bell_2017_data,CI,30,15 to 30,,1.20,,358,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.168493n, 104.962795w","55.168493n, 104.962795w",55.168493,-104.962795,1,balanced
Bell_2017,Bell_2017_data,CU,30,15 to 30,,1.50,,358,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.077522n, 104.936614w","55.077522n, 104.936614w",55.077522,-104.936614,1,balanced
Bell_2017,Bell_2017_data,DG,30,15 to 30,,10.30,,358,Google Earth,maximum elevation,Beetles,lake island,lake island,"55.083247, -104.898828","55.102476N, 105.258638W","55.102476N, 105.258638W",55.102476,-105.258638,1,balanced
